Correo electrónico,Teléfono,Sr.,Apellidos,Móvil,Ciudad,País,Moneda,Experiencia en años,Puesto laboral actual,Salario pretendido,Conjunto de habilidades,Empleador actual,Salario actual,Candidato Estado,Origen,Categoría
rwu@goldmansachs.com,117209478411,Rafael,Wu,117209476752,London,Switzerland,USD,8,Portfolio Manager,267,Portfolio Manager Skills,Goldman Sachs,297,Active,Direct,Financial Services
myang@airbus.com,117209479644,Maximilian,Yang,117209476123,London,Germany,USD,18,Investment Relations Director,238,Investment Relations Director Skills,Airbus,205,Inactive,Direct,Client Companies
pharrison@bloomberg.com,117209477508,Paulo,Harrison,117209479154,Zurich,France,USD,15,Solutions Architect,219,Solutions Architect Skills,Bloomberg,229,Inactive,Internal,Supply Chain
spark@temenos.com,117209475260,Sophia,Park,117209477744,Hong Kong,Switzerland,USD,11,Implementation Manager,247,Implementation Manager Skills,Temenos,235,Active,LinkedIn,Supply Chain
ssilva@hsbc.com,117209478196,Sebastian,Silva,117209476143,Madrid,Singapore,USD,14,Managing Director,255,Managing Director Skills,HSBC,250,Inactive,Internal,Financial Services
lwu@siemensag.com,117209478951,Lucia,Wu,117209477227,Paris,United States,USD,7,Financial Controller,204,Financial Controller Skills,Siemens AG,258,Active,Internal,Client Companies
cmueller@ss&ctechnologies.com,117209479747,Chiara,Mueller,117209477732,London,France,USD,7,Implementation Manager,222,Implementation Manager Skills,SS&C Technologies,240,Active,LinkedIn,Supply Chain
ctanaka@sapse.com,117209479857,Charlotte,Tanaka,117209477499,Paris,Hong Kong,USD,11,CFO,266,CFO Skills,SAP SE,209,Inactive,Internal,Client Companies
kjansen@nestlésa.com,117209476646,Kazuo,Jansen,117209476356,Zurich,Singapore,USD,11,Head of Finance,250,Head of Finance Skills,Nestlé SA,219,Inactive,Referral,Client Companies
hfontana@deutschebank.com,117209475281,Harper,Fontana,117209478685,Madrid,UK,USD,14,Executive Director,255,Executive Director Skills,Deutsche Bank,283,Active,Direct,Financial Services
mvirtanen@unilever.com,117209478828,Mei,Virtanen,117209477582,Paris,Singapore,USD,17,CFO,279,CFO Skills,Unilever,221,Active,Referral,Client Companies
acarvalho@goldmansachs.com,117209479296,Alessandro,Carvalho,117209477065,Madrid,United States,USD,14,Senior Investment Analyst,296,Senior Investment Analyst Skills,Goldman Sachs,251,Active,LinkedIn,Financial Services
cyang@hsbc.com,117209479203,Carmen,Yang,117209478163,Paris,Hong Kong,USD,7,Portfolio Manager,285,Portfolio Manager Skills,HSBC,277,Inactive,Internal,Financial Services
rhughes@volkswagenag.com,117209475922,Ryu,Hughes,117209479659,Paris,Hong Kong,USD,20,Treasury Manager,258,Treasury Manager Skills,Volkswagen AG,276,Inactive,Direct,Client Companies
lreynolds@volkswagenag.com,117209476881,Lucia,Reynolds,117209479133,Paris,Spain,USD,5,Investment Relations Director,261,Investment Relations Director Skills,Volkswagen AG,246,Inactive,Direct,Client Companies
hfischer@siemensag.com,117209477777,Hyun,Fischer,117209475493,Madrid,Switzerland,USD,17,Treasury Manager,267,Treasury Manager Skills,Siemens AG,203,Active,Direct,Client Companies
hhughes@bmwgroup.com,117209479781,Harper,Hughes,117209478181,Paris,UK,USD,7,Investment Relations Director,203,Investment Relations Director Skills,BMW Group,202,Active,Direct,Client Companies
jkim@ss&ctechnologies.com,117209479390,Jia,Kim,117209476498,Zurich,Switzerland,USD,10,Solutions Architect,218,Solutions Architect Skills,SS&C Technologies,198,Inactive,Internal,Supply Chain
knakamura@ss&ctechnologies.com,117209479876,Kazuo,Nakamura,117209476782,Paris,Germany,USD,9,Integration Specialist,208,Integration Specialist Skills,SS&C Technologies,245,Inactive,Direct,Supply Chain
dcarvalho@refinitiv.com,117209478949,Diego,Carvalho,117209478470,Paris,United States,USD,8,Technical Consultant,200,Technical Consultant Skills,Refinitiv,214,Active,LinkedIn,Supply Chain
lrossi@bmwgroup.com,117209477815,Lucia,Rossi,117209475204,New York,UK,USD,5,Financial Controller,259,Financial Controller Skills,BMW Group,221,Inactive,Referral,Client Companies
rkim@temenos.com,117209477714,Ryu,Kim,117209477687,New York,United States,USD,11,Product Manager,225,Product Manager Skills,Temenos,240,Active,Internal,Supply Chain
slarsson@morganstanley.com,117209475115,Sakura,Larsson,117209479884,New York,Switzerland,USD,7,Senior Investment Analyst,264,Senior Investment Analyst Skills,Morgan Stanley,283,Inactive,LinkedIn,Financial Services
cmorrison@finastra.com,117209475485,Chiara,Morrison,117209476698,London,Germany,USD,8,Integration Specialist,192,Integration Specialist Skills,Finastra,238,Active,Referral,Supply Chain
dweber@bloomberg.com,117209479019,Diego,Weber,117209479650,Zurich,Hong Kong,USD,20,Integration Specialist,246,Integration Specialist Skills,Bloomberg,207,Active,Direct,Supply Chain
bjansen@hsbc.com,117209479913,Benjamin,Jansen,117209475815,Paris,Spain,USD,12,Managing Director,288,Managing Director Skills,HSBC,252,Inactive,LinkedIn,Financial Services
hkowalski@temenos.com,117209479155,Harper,Kowalski,117209478134,Madrid,France,USD,14,Implementation Manager,242,Implementation Manager Skills,Temenos,223,Inactive,Referral,Supply Chain
npark@deutschebank.com,117209477272,Nathan,Park,117209477209,Madrid,Singapore,USD,18,Executive Director,246,Executive Director Skills,Deutsche Bank,253,Inactive,LinkedIn,Financial Services
iyang@creditsuisse.com,117209477747,Isabella,Yang,117209478836,Hong Kong,Switzerland,USD,8,Senior Investment Analyst,249,Senior Investment Analyst Skills,Credit Suisse,284,Active,Direct,Financial Services
kesposito@barclays.com,117209477511,Kai,Esposito,117209476331,Frankfurt,France,USD,14,Senior Investment Analyst,251,Senior Investment Analyst Skills,Barclays,278,Active,Referral,Financial Services
arobertson@refinitiv.com,117209478282,Adriana,Robertson,117209475194,Paris,Germany,USD,13,Integration Specialist,227,Integration Specialist Skills,Refinitiv,230,Inactive,LinkedIn,Supply Chain
aferrari@deutschebank.com,117209475625,Aurora,Ferrari,117209478088,Madrid,United States,USD,10,Executive Director,246,Executive Director Skills,Deutsche Bank,301,Inactive,Referral,Financial Services
trobertson@refinitiv.com,117209479283,Takeshi,Robertson,117209477476,Hong Kong,Hong Kong,USD,15,Solutions Architect,199,Solutions Architect Skills,Refinitiv,222,Active,Referral,Supply Chain
alarsson@goldmansachs.com,117209478420,Alessandro,Larsson,117209475647,Singapore,UK,USD,18,Portfolio Manager,278,Portfolio Manager Skills,Goldman Sachs,255,Active,Internal,Financial Services
vwatanabe@volkswagenag.com,117209477072,Victoria,Watanabe,117209479049,New York,United States,USD,6,Head of Finance,275,Head of Finance Skills,Volkswagen AG,223,Inactive,Internal,Client Companies
ssuzuki@bmwgroup.com,117209478572,Sebastian,Suzuki,117209479347,Hong Kong,Germany,USD,13,Investment Relations Director,268,Investment Relations Director Skills,BMW Group,259,Active,Internal,Client Companies
lcosta@refinitiv.com,117209479700,Ling,Costa,117209475494,Paris,Switzerland,USD,8,Technical Consultant,218,Technical Consultant Skills,Refinitiv,219,Inactive,Internal,Supply Chain
lpark@siemensag.com,117209477377,Ling,Park,117209476627,Singapore,Switzerland,USD,19,CFO,218,CFO Skills,Siemens AG,232,Active,LinkedIn,Client Companies
cvirtanen@deutschebank.com,117209477864,Camille,Virtanen,117209477205,Hong Kong,Germany,USD,5,Executive Director,292,Executive Director Skills,Deutsche Bank,302,Active,Internal,Financial Services
pconti@creditsuisse.com,117209477327,Penelope,Conti,117209476644,Hong Kong,UK,USD,17,Executive Director,251,Executive Director Skills,Credit Suisse,245,Inactive,Internal,Financial Services
jweber@ubs.com,117209475641,Julian,Weber,117209478119,Paris,Spain,USD,14,Portfolio Manager,264,Portfolio Manager Skills,UBS,261,Inactive,Direct,Financial Services
jlarsson@fisglobal.com,117209478422,Julian,Larsson,117209476656,Paris,United States,USD,13,Solutions Architect,208,Solutions Architect Skills,FIS Global,242,Active,Internal,Supply Chain
azhang@deutschebank.com,117209475427,Antonio,Zhang,117209478646,London,Spain,USD,13,Executive Director,283,Executive Director Skills,Deutsche Bank,277,Inactive,Direct,Financial Services
dhuang@ubs.com,117209475708,Daniela,Huang,117209477985,Paris,Switzerland,USD,18,Managing Director,271,Managing Director Skills,UBS,259,Active,Internal,Financial Services
wyamamoto@fnzgroup.com,117209479004,William,Yamamoto,117209476583,London,UK,USD,14,Integration Specialist,241,Integration Specialist Skills,FNZ Group,215,Active,Direct,Supply Chain
sreynolds@creditsuisse.com,117209475713,Seo-yeon,Reynolds,117209476356,Hong Kong,Spain,USD,19,Vice President,292,Vice President Skills,Credit Suisse,269,Inactive,Direct,Financial Services
ocosta@refinitiv.com,117209475144,Oliver,Costa,117209479849,Singapore,Germany,USD,11,Technical Consultant,210,Technical Consultant Skills,Refinitiv,219,Inactive,LinkedIn,Supply Chain
jnielsen@morganstanley.com,117209476409,Jia,Nielsen,117209476479,Madrid,UK,USD,11,Portfolio Manager,306,Portfolio Manager Skills,Morgan Stanley,281,Inactive,Referral,Financial Services
amorrison@bmwgroup.com,117209478730,Adrian,Morrison,117209475764,New York,Singapore,USD,17,Investment Relations Director,217,Investment Relations Director Skills,BMW Group,243,Active,Internal,Client Companies
jwood@ss&ctechnologies.com,117209476521,Jia,Wood,117209478624,Frankfurt,Germany,USD,10,Solutions Architect,188,Solutions Architect Skills,SS&C Technologies,234,Active,Direct,Supply Chain
asilva@l'oréal.com,117209479217,Antonio,Silva,117209479798,New York,Germany,USD,10,CFO,216,CFO Skills,L'Oréal,280,Active,Direct,Client Companies
adubois@broadridge.com,117209476618,Adriana,Dubois,117209477830,Paris,Germany,USD,5,Product Manager,214,Product Manager Skills,Broadridge,221,Inactive,LinkedIn,Supply Chain
xrobertson@airbus.com,117209478552,Xavier,Robertson,117209478728,Frankfurt,France,USD,14,CFO,210,CFO Skills,Airbus,208,Inactive,Direct,Client Companies
swatson@finastra.com,117209475135,Scarlett,Watson,117209477098,Singapore,Germany,USD,18,Integration Specialist,189,Integration Specialist Skills,Finastra,198,Active,Referral,Supply Chain
ghoffmann@airbus.com,117209477825,Gabriel,Hoffmann,117209475367,London,France,USD,8,Investment Relations Director,256,Investment Relations Director Skills,Airbus,257,Active,Referral,Client Companies
iesposito@temenos.com,117209477336,Isabel,Esposito,117209476084,Madrid,UK,USD,9,Implementation Manager,248,Implementation Manager Skills,Temenos,210,Inactive,Referral,Supply Chain
ltanaka@finastra.com,117209476971,Ling,Tanaka,117209478940,London,Switzerland,USD,7,Technical Consultant,221,Technical Consultant Skills,Finastra,231,Inactive,Referral,Supply Chain
nliu@bmwgroup.com,117209479668,Nathan,Liu,117209475267,London,Switzerland,USD,5,Investment Relations Director,212,Investment Relations Director Skills,BMW Group,240,Active,Internal,Client Companies
mconti@refinitiv.com,117209475117,Mei,Conti,117209477286,New York,Singapore,USD,9,Implementation Manager,230,Implementation Manager Skills,Refinitiv,227,Inactive,LinkedIn,Supply Chain
ivirtanen@l'oréal.com,117209475395,Isabella,Virtanen,117209478862,Paris,Germany,USD,11,Treasury Manager,247,Treasury Manager Skills,L'Oréal,245,Inactive,LinkedIn,Client Companies
mbennett@deutschebank.com,117209476323,Mei,Bennett,117209478096,Frankfurt,UK,USD,11,Executive Director,273,Executive Director Skills,Deutsche Bank,299,Inactive,Internal,Financial Services
jyang@siemensag.com,117209476464,Jia,Yang,117209477925,Zurich,Hong Kong,USD,5,Investment Relations Director,243,Investment Relations Director Skills,Siemens AG,271,Inactive,LinkedIn,Client Companies
mkowalski@refinitiv.com,117209475251,Mei,Kowalski,117209478615,Frankfurt,Hong Kong,USD,13,Implementation Manager,214,Implementation Manager Skills,Refinitiv,244,Active,Direct,Supply Chain
nlarsson@ss&ctechnologies.com,117209476585,Nathan,Larsson,117209478963,London,Singapore,USD,6,Technical Consultant,225,Technical Consultant Skills,SS&C Technologies,191,Active,Internal,Supply Chain
jphillips@deutschebank.com,117209478635,Jin,Phillips,117209478710,Singapore,Switzerland,USD,5,Executive Director,259,Executive Director Skills,Deutsche Bank,281,Inactive,Direct,Financial Services
sharrison@unilever.com,117209478697,Scarlett,Harrison,117209479941,London,Hong Kong,USD,7,Investment Relations Director,248,Investment Relations Director Skills,Unilever,266,Active,Direct,Client Companies
amueller@airbus.com,117209476530,Adriana,Mueller,117209479707,Paris,Switzerland,USD,8,Head of Finance,236,Head of Finance Skills,Airbus,237,Active,Referral,Client Companies
cwang@volkswagenag.com,117209478291,Charlotte,Wang,117209475283,London,Germany,USD,20,CFO,200,CFO Skills,Volkswagen AG,265,Active,Direct,Client Companies
walmeida@bloomberg.com,117209476593,William,Almeida,117209476038,Hong Kong,Germany,USD,9,Solutions Architect,240,Solutions Architect Skills,Bloomberg,184,Inactive,Internal,Supply Chain
dreynolds@goldmansachs.com,117209477748,Daniela,Reynolds,117209475461,London,Hong Kong,USD,12,Executive Director,276,Executive Director Skills,Goldman Sachs,267,Inactive,Internal,Financial Services
twood@sapse.com,117209477025,Takeshi,Wood,117209478001,London,UK,USD,16,Financial Controller,267,Financial Controller Skills,SAP SE,279,Inactive,LinkedIn,Client Companies
gmitchell@bloomberg.com,117209477305,Gabriel,Mitchell,117209479225,Singapore,Hong Kong,USD,8,Product Manager,232,Product Manager Skills,Bloomberg,236,Active,Referral,Supply Chain
mchen@ss&ctechnologies.com,117209476389,Ming,Chen,117209478421,Zurich,France,USD,8,Implementation Manager,194,Implementation Manager Skills,SS&C Technologies,200,Inactive,LinkedIn,Supply Chain
adubois@siemensag.com,117209479388,Alexander,Dubois,117209477123,Singapore,Singapore,USD,14,Financial Controller,269,Financial Controller Skills,Siemens AG,250,Active,Referral,Client Companies
hmarino@morganstanley.com,117209477996,Harper,Marino,117209477625,Madrid,Singapore,USD,13,Portfolio Manager,256,Portfolio Manager Skills,Morgan Stanley,288,Inactive,Referral,Financial Services
mwu@refinitiv.com,117209476917,Mei,Wu,117209479939,Frankfurt,Hong Kong,USD,17,Technical Consultant,210,Technical Consultant Skills,Refinitiv,231,Inactive,Referral,Supply Chain
nbennett@finastra.com,117209476845,Nathan,Bennett,117209475848,Singapore,Hong Kong,USD,16,Product Manager,231,Product Manager Skills,Finastra,242,Active,Internal,Supply Chain
eyamamoto@unilever.com,117209478424,Evelyn,Yamamoto,117209479102,Frankfurt,France,USD,20,Treasury Manager,229,Treasury Manager Skills,Unilever,269,Active,LinkedIn,Client Companies
jharrison@fnzgroup.com,117209475585,Jia,Harrison,117209478074,London,Hong Kong,USD,18,Solutions Architect,241,Solutions Architect Skills,FNZ Group,209,Active,Internal,Supply Chain
awatanabe@broadridge.com,117209475048,Adrian,Watanabe,117209477892,London,United States,USD,6,Technical Consultant,227,Technical Consultant Skills,Broadridge,217,Active,Direct,Supply Chain
ppeeters@goldmansachs.com,117209479663,Paulo,Peeters,117209475435,Singapore,Germany,USD,17,Managing Director,291,Managing Director Skills,Goldman Sachs,283,Inactive,LinkedIn,Financial Services
awood@goldmansachs.com,117209475553,Antonio,Wood,117209478160,Paris,UK,USD,9,Senior Investment Analyst,265,Senior Investment Analyst Skills,Goldman Sachs,298,Active,Internal,Financial Services
wreynolds@bloomberg.com,117209477309,William,Reynolds,117209478981,Singapore,France,USD,18,Implementation Manager,233,Implementation Manager Skills,Bloomberg,209,Inactive,Internal,Supply Chain
yrobertson@barclays.com,117209477949,Yuna,Robertson,117209476422,Madrid,France,USD,7,Managing Director,248,Managing Director Skills,Barclays,259,Inactive,Direct,Financial Services
awagner@siemensag.com,117209475935,Amelia,Wagner,117209477992,Singapore,France,USD,7,Treasury Manager,235,Treasury Manager Skills,Siemens AG,203,Active,LinkedIn,Client Companies
rvirtanen@fisglobal.com,117209478075,Ryu,Virtanen,117209475200,New York,Spain,USD,14,Product Manager,247,Product Manager Skills,FIS Global,242,Active,Referral,Supply Chain
lyamamoto@unilever.com,117209477379,Lucia,Yamamoto,117209475421,Madrid,United States,USD,9,CFO,248,CFO Skills,Unilever,272,Active,Internal,Client Companies
cchen@volkswagenag.com,117209479632,Carmen,Chen,117209477605,Hong Kong,United States,USD,6,Head of Finance,240,Head of Finance Skills,Volkswagen AG,221,Active,Referral,Client Companies
mphillips@siemensag.com,117209479711,Matteo,Phillips,117209476055,Madrid,Germany,USD,16,Head of Finance,258,Head of Finance Skills,Siemens AG,228,Active,Internal,Client Companies
srichards@airbus.com,117209475359,Sofia,Richards,117209477582,Frankfurt,France,USD,14,Investment Relations Director,256,Investment Relations Director Skills,Airbus,208,Active,Internal,Client Companies
vwang@creditsuisse.com,117209477736,Victoria,Wang,117209475109,Zurich,Switzerland,USD,13,Executive Director,268,Executive Director Skills,Credit Suisse,260,Inactive,LinkedIn,Financial Services
tferreira@jpmorgan.com,117209479205,Theodore,Ferreira,117209478538,Singapore,Singapore,USD,9,Vice President,302,Vice President Skills,JP Morgan,277,Inactive,Referral,Financial Services
srussell@refinitiv.com,117209478769,Scarlett,Russell,117209475745,Frankfurt,United States,USD,19,Solutions Architect,195,Solutions Architect Skills,Refinitiv,224,Active,Internal,Supply Chain
kfischer@unilever.com,117209479438,Kai,Fischer,117209476797,London,Switzerland,USD,9,CFO,277,CFO Skills,Unilever,255,Inactive,Internal,Client Companies
esuzuki@goldmansachs.com,117209479056,Elena,Suzuki,117209478217,Hong Kong,France,USD,14,Senior Investment Analyst,255,Senior Investment Analyst Skills,Goldman Sachs,276,Inactive,Direct,Financial Services
irossi@volkswagenag.com,117209478315,Isabella,Rossi,117209476037,Singapore,Spain,USD,16,Financial Controller,219,Financial Controller Skills,Volkswagen AG,257,Active,Direct,Client Companies
bcrawford@broadridge.com,117209475325,Benjamin,Crawford,117209479575,Singapore,France,USD,16,Solutions Architect,183,Solutions Architect Skills,Broadridge,202,Active,Referral,Supply Chain
cromano@finastra.com,117209477886,Carmen,Romano,117209475519,Frankfurt,United States,USD,9,Implementation Manager,210,Implementation Manager Skills,Finastra,247,Inactive,Direct,Supply Chain
iwagner@siemensag.com,117209476304,Isabel,Wagner,117209476968,Hong Kong,Singapore,USD,16,Head of Finance,237,Head of Finance Skills,Siemens AG,202,Active,Direct,Client Companies
fpeeters@hsbc.com,117209478761,Felix,Peeters,117209478602,Madrid,UK,USD,16,Portfolio Manager,266,Portfolio Manager Skills,HSBC,261,Inactive,LinkedIn,Financial Services
ssato@goldmansachs.com,117209476179,Sebastian,Sato,117209475829,Zurich,United States,USD,15,Portfolio Manager,249,Portfolio Manager Skills,Goldman Sachs,300,Inactive,LinkedIn,Financial Services
tbauer@volkswagenag.com,117209478286,Theodore,Bauer,117209476730,Singapore,Switzerland,USD,11,Investment Relations Director,265,Investment Relations Director Skills,Volkswagen AG,237,Active,Internal,Client Companies
aromano@deutschebank.com,117209475049,Alexander,Romano,117209478420,Singapore,Singapore,USD,18,Managing Director,253,Managing Director Skills,Deutsche Bank,307,Inactive,Referral,Financial Services
hnielsen@bloomberg.com,117209478134,Harper,Nielsen,117209475143,London,United States,USD,17,Product Manager,218,Product Manager Skills,Bloomberg,244,Active,LinkedIn,Supply Chain
czhang@volkswagenag.com,117209475023,Chloe,Zhang,117209477840,Madrid,Singapore,USD,9,Financial Controller,201,Financial Controller Skills,Volkswagen AG,204,Active,Referral,Client Companies
jrodriguez@unilever.com,117209479126,Jin,Rodriguez,117209476504,Singapore,Singapore,USD,5,CFO,225,CFO Skills,Unilever,265,Inactive,Referral,Client Companies
swatson@goldmansachs.com,117209477381,Scarlett,Watson,117209478957,Singapore,France,USD,14,Portfolio Manager,285,Portfolio Manager Skills,Goldman Sachs,302,Active,Direct,Financial Services
fkim@temenos.com,117209477147,Felix,Kim,117209477029,Madrid,Hong Kong,USD,17,Implementation Manager,248,Implementation Manager Skills,Temenos,235,Active,Direct,Supply Chain
ssato@volkswagenag.com,117209478686,Sakura,Sato,117209476210,Hong Kong,France,USD,10,Treasury Manager,201,Treasury Manager Skills,Volkswagen AG,266,Inactive,LinkedIn,Client Companies
arichards@bmwgroup.com,117209475761,Alexander,Richards,117209476076,Madrid,Switzerland,USD,14,Financial Controller,247,Financial Controller Skills,BMW Group,233,Active,Referral,Client Companies
hcarvalho@sapse.com,117209478247,Hiroshi,Carvalho,117209478061,New York,United States,USD,10,Financial Controller,221,Financial Controller Skills,SAP SE,209,Active,Direct,Client Companies
swatson@bloomberg.com,117209477946,Sofia,Watson,117209479263,Singapore,United States,USD,9,Integration Specialist,236,Integration Specialist Skills,Bloomberg,180,Inactive,Referral,Supply Chain
mmarino@ubs.com,117209476595,Matteo,Marino,117209476308,Zurich,Spain,USD,9,Vice President,261,Vice President Skills,UBS,252,Active,Direct,Financial Services
shuang@broadridge.com,117209479978,Sophie,Huang,117209476715,Paris,Spain,USD,16,Technical Consultant,186,Technical Consultant Skills,Broadridge,199,Active,Referral,Supply Chain
mhoffmann@refinitiv.com,117209477072,Mei,Hoffmann,117209478735,Singapore,Switzerland,USD,11,Solutions Architect,183,Solutions Architect Skills,Refinitiv,235,Active,Direct,Supply Chain
arossi@volkswagenag.com,117209478454,Alexander,Rossi,117209475117,New York,France,USD,18,Investment Relations Director,201,Investment Relations Director Skills,Volkswagen AG,236,Active,Internal,Client Companies
ypeeters@deutschebank.com,117209476027,Yuki,Peeters,117209475794,Madrid,Switzerland,USD,10,Vice President,272,Vice President Skills,Deutsche Bank,309,Active,Internal,Financial Services
lfischer@goldmansachs.com,117209479908,Lucas,Fischer,117209475086,Hong Kong,Hong Kong,USD,5,Executive Director,246,Executive Director Skills,Goldman Sachs,286,Inactive,LinkedIn,Financial Services
swatanabe@deutschebank.com,117209479071,Sophia,Watanabe,117209478342,Zurich,United States,USD,18,Managing Director,291,Managing Director Skills,Deutsche Bank,276,Inactive,Direct,Financial Services
dnielsen@nestlésa.com,117209476957,Diego,Nielsen,117209475981,Paris,France,USD,20,Financial Controller,264,Financial Controller Skills,Nestlé SA,267,Active,LinkedIn,Client Companies
phoffmann@l'oréal.com,117209479665,Paulo,Hoffmann,117209479343,Madrid,Spain,USD,13,Financial Controller,256,Financial Controller Skills,L'Oréal,270,Active,Direct,Client Companies
mkowalski@deutschebank.com,117209477294,Maximilian,Kowalski,117209479257,Paris,Germany,USD,10,Executive Director,307,Executive Director Skills,Deutsche Bank,287,Active,Referral,Financial Services
mrobertson@temenos.com,117209476496,Maximilian,Robertson,117209476930,Hong Kong,United States,USD,10,Implementation Manager,205,Implementation Manager Skills,Temenos,217,Inactive,Referral,Supply Chain
fweber@hsbc.com,117209479029,Felix,Weber,117209475718,Madrid,Hong Kong,USD,12,Executive Director,256,Executive Director Skills,HSBC,308,Active,Direct,Financial Services
asilva@morganstanley.com,117209478831,Amelia,Silva,117209479523,New York,Singapore,USD,8,Managing Director,262,Managing Director Skills,Morgan Stanley,274,Active,LinkedIn,Financial Services
lpark@sapse.com,117209477907,Lucia,Park,117209479505,London,Germany,USD,11,Financial Controller,256,Financial Controller Skills,SAP SE,253,Active,LinkedIn,Client Companies
mreynolds@goldmansachs.com,117209478838,Matteo,Reynolds,117209477165,Paris,United States,USD,19,Vice President,247,Vice President Skills,Goldman Sachs,268,Inactive,LinkedIn,Financial Services
nfontana@ss&ctechnologies.com,117209479565,Nicolas,Fontana,117209479652,New York,Switzerland,USD,20,Product Manager,198,Product Manager Skills,SS&C Technologies,201,Inactive,Referral,Supply Chain
rwang@siemensag.com,117209479311,Rafael,Wang,117209478225,New York,Singapore,USD,16,Head of Finance,241,Head of Finance Skills,Siemens AG,278,Inactive,LinkedIn,Client Companies
dcampbell@bloomberg.com,117209478086,Diego,Campbell,117209477541,Singapore,Hong Kong,USD,14,Implementation Manager,239,Implementation Manager Skills,Bloomberg,191,Active,Direct,Supply Chain
ycampbell@fisglobal.com,117209476778,Yuna,Campbell,117209476652,Madrid,UK,USD,7,Implementation Manager,192,Implementation Manager Skills,FIS Global,238,Active,Internal,Supply Chain
arossi@ss&ctechnologies.com,117209479191,Antonio,Rossi,117209479930,London,Hong Kong,USD,18,Solutions Architect,250,Solutions Architect Skills,SS&C Technologies,225,Active,Internal,Supply Chain
anielsen@deutschebank.com,117209475509,Alessandro,Nielsen,117209477299,London,United States,USD,8,Managing Director,266,Managing Director Skills,Deutsche Bank,268,Inactive,Direct,Financial Services
rferreira@hsbc.com,117209479069,Ryu,Ferreira,117209479973,Zurich,Spain,USD,20,Vice President,254,Vice President Skills,HSBC,299,Active,Internal,Financial Services
